# polypus-physics depth-dose experiment — numerical results
# beam: monoenergetic 100 keV photon pencil beam along +z from (0,0,0)
# medium: water (rho = 1000.0 kg/m^3)
# beam_energy_mev: 0.100000
# n_primaries: 20000
# seed: 2026
# geometry_box_min_cm: [-5.000, -5.000, 0.000]
# geometry_box_max_cm: [5.000, 5.000, 10.000]
# voxel_size_cm: 1.000
# dims_nx_ny_nz: [10, 10, 10]
# mu_100kev_water_per_m: 16.6780
# total_deposit_in_grid_mev: 463.684314
# overflow_mev: 0.000000
# note: dose_gy is absolute for n_primaries; dose_gy_per_primary = dose_gy / n_primaries
# note: local deposition is valid at 100 keV (e- range < 0.2 mm << 1 cm voxel)
ix,iy,iz,x_center_cm,y_center_cm,z_center_cm,energy_mev,dose_gy,dose_gy_per_primary
4,2,2,-0.500,-2.500,2.500,2.428644e-1,3.891116e-11,1.945558e-15
5,2,2,0.500,-2.500,2.500,3.513465e-1,5.629192e-11,2.814596e-15
6,2,2,1.500,-2.500,2.500,1.427516e-1,2.287133e-11,1.143567e-15
7,2,2,2.500,-2.500,2.500,5.810693e-2,9.309756e-12,4.654878e-16
8,2,2,3.500,-2.500,2.500,5.433365e-2,8.705211e-12,4.352606e-16
9,2,2,4.500,-2.500,2.500,6.677400e-2,1.069837e-11,5.349187e-16
0,3,2,-4.500,-1.500,2.500,1.644383e-1,2.634592e-11,1.317296e-15
1,3,2,-3.500,-1.500,2.500,4.415509e-2,7.074426e-12,3.537213e-16
2,3,2,-2.500,-1.500,2.500,1.382132e-1,2.214419e-11,1.107209e-15
3,3,2,-1.500,-1.500,2.500,3.384209e-1,5.422101e-11,2.711051e-15
4,3,2,-0.500,-1.500,2.500,5.173033e-1,8.288113e-11,4.144056e-15
5,3,2,0.500,-1.500,2.500,7.381949e-1,1.182719e-10,5.913593e-15
6,3,2,1.500,-1.500,2.500,4.454912e-1,7.137555e-11,3.568778e-15
7,3,2,2.500,-1.500,2.500,2.016916e-1,3.231456e-11,1.615728e-15
8,3,2,3.500,-1.500,2.500,9.855930e-2,1.579094e-11,7.895470e-16
9,3,2,4.500,-1.500,2.500,8.647905e-2,1.385547e-11,6.927736e-16
0,4,2,-4.500,-0.500,2.500,1.277561e-1,2.046879e-11,1.023439e-15
1,4,2,-3.500,-0.500,2.500,2.291784e-1,3.671843e-11,1.835922e-15
2,4,2,-2.500,-0.500,2.500,2.298221e-1,3.682156e-11,1.841078e-15
3,4,2,-1.500,-0.500,2.500,7.046601e-1,1.128990e-10,5.644949e-15
4,4,2,-0.500,-0.500,2.500,2.002329e0,3.208085e-10,1.604043e-14
5,4,2,0.500,-0.500,2.500,2.384019e0,3.819620e-10,1.909810e-14
6,4,2,1.500,-0.500,2.500,7.923433e-1,1.269474e-10,6.347369e-15
7,4,2,2.500,-0.500,2.500,3.266771e-1,5.233944e-11,2.616972e-15
8,4,2,3.500,-0.500,2.500,1.511000e-1,2.420888e-11,1.210444e-15
9,4,2,4.500,-0.500,2.500,1.673059e-2,2.680536e-12,1.340268e-16
0,5,2,-4.500,0.500,2.500,6.032264e-2,9.664752e-12,4.832376e-16
1,5,2,-3.500,0.500,2.500,3.178980e-1,5.093287e-11,2.546644e-15
2,5,2,-2.500,0.500,2.500,2.799152e-1,4.484736e-11,2.242368e-15
3,5,2,-1.500,0.500,2.500,6.618177e-1,1.060349e-10,5.301744e-15
4,5,2,-0.500,0.500,2.500,2.026804e0,3.247298e-10,1.623649e-14
5,5,2,0.500,0.500,2.500,3.515045e1,5.631723e-9,2.815861e-13
6,5,2,1.500,0.500,2.500,7.748164e-1,1.241393e-10,6.206964e-15
7,5,2,2.500,0.500,2.500,2.339889e-1,3.748915e-11,1.874457e-15
8,5,2,3.500,0.500,2.500,2.520447e-1,4.038201e-11,2.019100e-15
9,5,2,4.500,0.500,2.500,1.675323e-1,2.684163e-11,1.342082e-15
0,6,2,-4.500,1.500,2.500,4.231616e-2,6.779796e-12,3.389898e-16
1,6,2,-3.500,1.500,2.500,1.026044e-1,1.643904e-11,8.219520e-16
2,6,2,-2.500,1.500,2.500,2.652192e-1,4.249280e-11,2.124640e-15
3,6,2,-1.500,1.500,2.500,4.231934e-1,6.780306e-11,3.390153e-15
4,6,2,-0.500,1.500,2.500,6.484463e-1,1.038926e-10,5.194628e-15
5,6,2,0.500,1.500,2.500,6.469402e-1,1.036512e-10,5.182562e-15
6,6,2,1.500,1.500,2.500,3.204868e-1,5.134765e-11,2.567382e-15
7,6,2,2.500,1.500,2.500,2.971356e-1,4.760637e-11,2.380318e-15
8,6,2,3.500,1.500,2.500,8.228094e-2,1.318286e-11,6.591430e-16
9,6,2,4.500,1.500,2.500,4.127538e-3,6.613045e-13,3.306523e-17
