Compound,H2O
MolarMass,18.015
""
Energy_eV,Energy_MeV,mu_m_cm2_g
3.987678566604747,3.987678566604747e-6,0.00027445074978814274
4.007934211080047,4.007934211080047e-6,0.000279967971468406
4.028292745275834,4.028292745275834e-6,0.0002855964472774533
4.048754691826409,4.048754691826409e-6,0.000291338427203383
4.069320576020824,4.069320576020824e-6,0.00029761913621151375
4.089990925816365,4.089990925816365e-6,0.00030420724492675224
4.1107662718521105,4.110766271852111e-6,0.00031094224882730157
4.131647147462551,4.131647147462551e-6,0.0003178274481519573
4.152634088691278,4.152634088691278e-6,0.00032486621786577993
4.1737276343047505,4.17372763430475e-6,0.0003320620093655456
4.194928325806121,4.194928325806121e-6,0.00033941835222443275
4.216236707449139,4.216236707449138e-6,0.00034693885597684505
4.237653326252122,4.237653326252122e-6,0.00035371714204290096
4.259178732012,4.259178732011999e-6,0.0003605945588540108
4.280813477318428,4.280813477318428e-6,0.0003676064226190313
4.302558117567972,4.302558117567972e-6,0.0003747553765195521
4.324413210978366,4.324413210978366e-6,0.0003820441160035771
4.346379318602846,4.346379318602846e-6,0.0003908512530284836
4.368457004344547,4.368457004344547e-6,0.0004003178805182018
4.390646834970986,4.390646834970985e-6,0.0004100151392138069
4.412949380128605,4.412949380128605e-6,0.00041953524815143236
4.435365212357403,4.4353652123574025e-6,0.0004287478823314891
4.457894907105623,4.457894907105623e-6,0.0004381643110830933
4.480539042744536,4.480539042744536e-6,0.0004477890729568529
4.503298200583281,4.50329820058328e-6,0.0004576268081911111
4.52617296488379,4.52617296488379e-6,0.0004676822610025921
4.549163922875787,4.549163922875787e-6,0.0004779045696423773
4.5722716647718675,4.572271664771867e-6,0.00048782094764581157
4.595496783782642,4.595496783782642e-6,0.0004985069006860269
4.618839876131969,4.6188398761319685e-6,0.0005094293905215787
4.642301541072262,4.642301541072262e-6,0.0005205937105854047
4.665882380899873,4.665882380899873e-6,0.0005320052741094915
4.689583000970549,4.689583000970548e-6,0.0005436696168668452
4.71340400971498,4.71340400971498e-6,0.0005555923999769245
4.737346018654414,4.737346018654414e-6,0.0005677794127760089
4.761409642416357,4.761409642416356e-6,0.00058023657575403
4.785595498750352,4.785595498750352e-6,0.0005922789142475783
4.809904208543834,4.809904208543834e-6,0.0006037680642182056
4.834336395838075,4.834336395838074e-6,0.0006154811349914169
4.858892687844197,4.858892687844197e-6,0.0006274225120922684
4.88357371495928,4.88357371495928e-6,0.0006410847414544716
4.908380110782542,4.908380110782542e-6,0.0006565132098750809
4.9333125121316055,4.9333125121316055e-6,0.0006723153144210774
4.958371559058843,4.958371559058843e-6,0.000688500156012999
4.983557894867814,4.983557894867814e-6,0.0007050770584217181
